카테고리번호,HOT/ICE,분류,가격,이름,칼로리(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),트랜스지방(g),나트륨(mg),콜레스테롤(mg),카페인(mg),알레르기 유발물질,연령
4,ICE,음료,3500,ICE 로얄밀크티,254.6,41.7,20.2,6.6,6.8,4.2,0.3,68.4,22.3,118.1,우유,"어린이, 청소년, 성인, 노인"
5,ICE,음료,3900,ICE 녹차라떼,288.5,46.3,21.2,8.5,7.7,4.8,0.3,52.3,26,135.9,우유,"어린이, 청소년, 성인, 노인"
6,ICE,음료,3800,ICE 고구마라떼,248.8,41.7,21.6,6.5,6.2,3.8,0.2,72.8,22.4,0,우유,"어린이, 청소년, 성인, 노인"
7,ICE,음료,3500,ICE 토피넛라떼,364.5,54.5,22.5,9.2,12.2,8.3,0.3,172.7,27.2,54,"우유, 대두","어린이, 청소년, 성인, 노인"
8,ICE,음료,3000,ICE 오레오 초코라떼,475.1,78.9,30.1,9.7,13.4,10.4,0,258.2,18.5,11.1,"우유, 밀, 대두","어린이, 청소년, 성인, 노인"
9,ICE,음료,3500,ICE 딸기라떼,366.4,73.5,47.3,5.8,5.5,3,0.1,50,16.4,0,우유,"어린이, 청소년, 성인, 노인"
1,ICE,음료,2900,흑당버블라떼,320.3,58.1,27.2,7.2,6.6,4.1,0.2,104.9,23,0,우유,"어린이, 청소년, 성인, 노인"
2,ICE,음료,3400,흑당버블 밀크티라떼,330.2,59.9,24.4,7.5,6.7,4.3,0.2,106.7,23.5,14.3,우유,"어린이, 청소년, 성인, 노인"
3,ICE,음료,3500,흑당 라떼,330.2,599,24.4,75,67,43,2,106.7,23.5,,우유,"어린이, 청소년, 성인, 노인"
4,ICE,음료,3700,흑당밀크티라떼,300.5,50.3,22.6,8.4,7.3,4.5,0.2,104.4,27.5,30.6,우유,"어린이, 청소년, 성인, 노인"
3,ICE,음료,3900,왕메가 헛개리카노,557,113,0,0.8,,,,,,,-,"어린이, 청소년, 성인, 노인"
7,ICE,음료,3300,왕메가 사과유자차,313.3,76.8,76.7,0.2,0.6,0.1,0,120.4,0,0,-,"어린이, 청소년, 성인, 노인"
1,ICE,에이드,3500,체리콕,323.6,80.5,55.6,0.2,0.1,0,0,5.4,0,23.9,-,"어린이, 청소년, 성인, 노인"
2,ICE,에이드,4000,레몬에이드,196.8,48.9,35.1,0.3,0,0,0,71.3,0,0,-,"어린이, 청소년, 성인, 노인"
3,ICE,에이드,3500,블루레몬에이드,225,55.9,36.5,0.2,0.1,0,0,77.2,0,0,-,"어린이, 청소년, 성인, 노인"
4,ICE,에이드,4000,자몽에이드,203.8,50.7,40.7,0.3,0,0,3.3,0,0,-,,"어린이, 청소년, 성인, 노인"
5,ICE,에이드,3500,청포도에이드,317,78.4,77.7,0.2,0.3,0,0,17.9,0,0,-,"어린이, 청소년, 성인, 노인"
6,ICE,에이드,4000,메가에이드,292.4,72.6,53.9,0.3,0.1,0,0,9.1,0,0,-,"어린이, 청소년, 성인, 노인"
7,ICE,에이드,1500,라임모히또,290.5,71.2,70.4,0.4,0.5,0,0,41.7,0,0,-,"어린이, 청소년, 성인, 노인"
